area,name,lat,long,status,note,,住所,,,,,,,,
昭島市2,6-4,35.7057015,139.3727107,2,中神小学校,,東京都昭島市朝日町5丁目8番,,,2,,,,,
昭島市2,6-5,35.703671,139.3691644,2,ジュン美容室北,,東京都昭島市中神町1丁目20番,,,2,,,,,
昭島市2,6-6,35.7057531,139.3711522,2,朝日町いこい公園,,東京都昭島市朝日町4丁目5番,,,2,,,,,
昭島市2,6-7,35.7089103,139.3698756,2,昭島市水道部,,東京都昭島市朝日町4丁目23番,,,2,,,,,
昭島市2,6-8,35.7083832,139.3695726,2,水道部南,,東京都昭島市朝日町4丁目23番,,,2,,,,,
昭島市2,6-9,35.7059079,139.3694491,2,都営朝日町四丁目アパート4号棟北,,東京都昭島市朝日町4丁目14番,,,2,,,,,
昭島市3,7-1,35.6992972,139.3726951,5,中神町二丁目児童遊園,,東京都昭島市中神町2丁目26番,,,5,,,,,
昭島市3,7-2,35.6978327,139.3753204,5,多摩大橋北児童遊園,,東京都昭島市中神町2丁目19番,,,5,,,,,
昭島市3,7-3,35.7013062,139.3738516,5,中神自治会館,,東京都昭島市中神町2丁目2番,,,5,,,,,
昭島市2,7-4,35.7029803,139.3667677,2,東京電力中神変電所,,東京都昭島市中神町1丁目25番,,,2,,,,,
昭島市4,8-1,35.7227195,139.3636609,0,子育てひろばほりむこう,,東京都昭島市美堀町2丁目6番,,,0,,,,,
昭島市2,8-2,35.7139365,139.3610315,2,昭島駅北口広場,,東京都昭島市代官山2丁目3番,,,2,,,,,
昭島市4,8-3,35.723025,139.3570082,0,吉沢宅南（保育園跡地）,,東京都昭島市美堀町3丁目10番,,,0,,,,,
昭島市4,8-4,35.7234752,139.3552427,0,環境コミュニケーションセンター,,東京都昭島市美堀町3丁目8番,,,0,,,,,
昭島市4,8-5,35.724522,139.357222,0,みほり広場,,東京都昭島市美堀町3丁目3番,,,0,,,,,
昭島市4,8-6,35.7153138,139.3555744,0,つつじが丘通り,,東京都昭島市代官山3丁目2番,,,0,,,,,
昭島市4,8-7,35.7171423,139.3537606,0,みほり体育館駐車場,,東京都昭島市美堀町4丁目19番,,,0,,,,,
昭島市4,8-8,35.7200016,139.348353,0,上水南第一公園,,東京都昭島市美堀町5丁目11番,,,0,,,,,
昭島市4,8-9,35.7208749,139.3459999,0,上水南第二公園,,東京都昭島市美堀町5丁目19番,,,0,,,,,
昭島市4,8-10,35.7249962,139.3679538,0,美堀町一丁目かけはし公園,,東京都昭島市美堀町1丁目4番,,,0,,,,,
昭島市2,9-1,35.7065983,139.3632612,2,清泉公園,,東京都昭島市宮沢町1丁目10番,,,2,,,,,
昭島市2,9-2,35.7109654,139.364489,2,光華小学校北門,,東京都昭島市昭和町4丁目5番,,,2,,,,,
昭島市2,9-3,35.7095672,139.3632472,2,光華小学校正門,,東京都昭島市昭和町4丁目5番,,,2,,,,,
昭島市2,9-4,35.7061256,139.3624446,2,市道昭島41号沿い,,東京都昭島市上川原町1丁目22番,,,2,,,,,
昭島市2,9-5,35.7128047,139.3629793,2,昭島駅南口立体自転車等駐車場,,東京都昭島市昭和町2丁目1番,,,2,,,,,
昭島市2,9-6,35.7108858,139.365246,2,昭和町分室西,,東京都昭島市昭和町1丁目6番,,,2,,,,,
昭島市2,9-7,35.706948,139.3653436,2,清泉中学校,,東京都昭島市宮沢町1丁目9番,,,2,,,,,
昭島市2,10-1,35.7000346,139.3671977,2,宮沢町公会堂,,東京都昭島市宮沢町2丁目37番,,,2,,,,,
昭島市2,10-2,35.7024582,139.3625508,2,五鉄通り,,東京都昭島市宮沢町2丁目24番,,,2,,,,,
昭島市1,10-3,35.7008417,139.360902,1,大神会館,,東京都昭島市大神町3丁目10番,,,4,,,,,
昭島市1,10-4,35.6990311,139.3609001,1,成隣小学校,,東京都昭島市大神町4丁目4番,,,4,,,,,
昭島市1,10-5,35.7029173,139.3597643,1,五日市鉄道大神駅跡,,東京都昭島市大神町1丁目5番,,,1,,,,,
昭島市1,10-6,35.6972487,139.3591566,1,大神町四丁目児童遊園,,東京都昭島市大神町4丁目25番,,,4,,,,,
昭島市1,10-7,35.7055457,139.3560098,1,上ノ台公園,,東京都昭島市大神町2丁目4番,,,1,,,,,
昭島市2,10-8,35.7030557,139.3620542,2,東ノ岡児童遊園,,東京都昭島市宮沢町2丁目14番,,,2,,,,,
昭島市1,11-1,35.7090443,139.3534338,1,栗の沢北交差点,,東京都昭島市田中町1丁目9番,,,1,,,,,
昭島市1,11-2,35.7111889,139.3519891,1,緑ヶ丘東児童遊園,,東京都昭島市緑 町1丁目15番,,,1,,,,,
昭島市1,11-3,35.713629,139.3511852,1,緑ヶ丘公園北,,東京都昭島市緑 町1丁目21番,,,1,,,,,
昭島市1,11-4,35.7129821,139.3506079,1,拝島中学校体育館東,,東京都昭島市緑 町2丁目2番,,,1,,,,,
昭島市1,11-5,35.7135309,139.349138,1,拝島中学校プール西,,東京都昭島市緑 町2丁目2番,,,1,,,,,
昭島市1,11-6,35.707532,139.3504656,1,栗の沢交差点,,東京都昭島市緑 町3丁目3番,,,1,,,,,
昭島市1,11-7,35.7128383,139.3495806,1,拝島中学校西門,,東京都昭島市緑 町2丁目2番,,,1,,,,,
昭島市1,11-8,35.7122255,139.3475498,1,昭島市水道部西部配水場,,東京都昭島市緑 町2丁目17番,,,1,,,,,
昭島市1,12-1,35.7056996,139.3529157,1,昭島市役所南,,東京都昭島市田中町1丁目17番,,,1,,,,,
昭島市1,12-2,35.7065368,139.3455956,1,拝島第一小学校北,,東京都昭島市拝島町1丁目14番,,,4,,,,,
昭島市1,12-3,35.7100196,139.3467404,1,下林公園,,東京都昭島市緑 町2丁目13番,,,1,,,,,
昭島市1,12-4,35.7051158,139.3462782,1,拝島公園,,東京都昭島市拝島町1丁目10番,,,4,,,,,
昭島市1,12-5,35.7031534,139.3454515,1,多摩辺中学校正門,,東京都昭島市拝島町4丁目6番,,,4,,,,,
昭島市1,12-6,35.7058181,139.3454802,1,拝島第一学童クラブ,,東京都昭島市拝島町1丁目14番,,,4,,,,,
昭島市1,12-7,35.7059849,139.3543158,1,昭島市役所,,東京都昭島市田中町1丁目17番,,,1,,,,,
昭島市1,13-1,35.7206037,139.34314,1,拝島駅南口地下自転車等駐車場,,東京都昭島市松原町5丁目2番,,,1,,,,,
昭島市1,13-2,35.7172399,139.3444807,1,拝島第三小学校北門,,東京都昭島市松原町3丁目12番,,,1,,,,,
昭島市1,13-3,35.7145165,139.3439487,1,林ノ上公園東,,東京都昭島市緑 町4丁目14番,,,1,,,,,
昭島市1,13-4,35.7159376,139.3441937,1,拝島第三小学校正門,,東京都昭島市松原町3丁目12番,,,1,,,,,
昭島市1,13-5,35.7205884,139.3426249,1,拝島駅南口駅前広場,,東京都昭島市松原町5丁目2番,,,1,,,,,
昭島市1,13-6,35.7171035,139.3409057,1,松原児童遊園,,東京都昭島市松原町5丁目9番,,,1,,,,,
昭島市1,13-7,35.7142202,139.3412382,1,小荷田児童遊園,,東京都昭島市緑 町5丁目4番,,,1,,,,,
昭島市1,14-1,35.7086821,139.3421381,1,拝島町子どもの広場,,東京都昭島市拝島町2丁目7番,,,4,,,,,
昭島市1,14-2,35.7093154,139.3430667,1,稲荷林交差点東,,東京都昭島市緑 町3丁目23番,,,1,,,,,
昭島市1,14-3,35.706971,139.3417811,1,拝島会館,,東京都昭島市拝島町2丁目4番,,,4,,,,,
昭島市1,14-4,35.7039482,139.3417461,1,拝島高等学校西,,東京都昭島市拝島町4丁目19番,,,4,,,,,
昭島市1,14-5,35.7098588,139.3394437,1,拝島天神社児童遊園,,東京都昭島市拝島町2丁目14番,,,4,,,,,
昭島市1,14-6,35.7063883,139.338455,1,旧拝島第四小学校,,東京都昭島市拝島町5丁目6番,,,4,,,,,
昭島市1,14-7,35.7060666,139.3399904,1,中宿子どもの広場,,東京都昭島市拝島町5丁目3番,,,4,,,,,
昭島市1,15-1,35.7115751,139.3351792,1,やまのかみ公園東,,東京都昭島市拝島町3丁目10番,,,4,,,,,
昭島市1,15-2,35.7139058,139.3360258,1,都営拝島町三丁目アパート12号棟北,,東京都昭島市拝島町3丁目17番,,,4,,,,,
昭島市1,15-3,35.7103404,139.3367955,1,都営拝島町三丁目アパート2号棟南,,東京都昭島市拝島町3丁目9番,,,4,,,,,
昭島市1,15-4,35.7111592,139.3339829,1,やまのかみ公園西,,東京都昭島市拝島町3丁目10番,,,4,,,,,
昭島市1,15-5,35.7117027,139.3365781,1,都営拝島町三丁目アパート第2集会室,,東京都昭島市拝島町3丁目5番,,,4,,,,,
昭島市1,15-6,35.7109132,139.3358487,1,都営拝島町三丁目アパート2号棟北,,東京都昭島市拝島町3丁目9番,,,4,,,,,
昭島市1,15-7,35.7128821,139.3344591,1,都営拝島町三丁目アパート7号棟東,,東京都昭島市拝島町3丁目11番,,,4,,,,,
昭島市3,16-1,35.7060197,139.3840918,5,東中神駅南口駅前広場,,東京都昭島市玉川町1丁目7番,,,5,,,,,
昭島市3,16-2,35.7056699,139.3835004,5,都営玉川町アパート4号棟北側公園,,東京都昭島市玉川町1丁目8番,,,5,,,,,
